time_stamp,handle,back_-2_post,back_-1_post,text,forward_1_post,forward_2_post,guess_who
2002-03-25 19:07:58,(eye)K'van Cetre,2002-03-25 19:06:10 (eye)Soul: phreak,2002-03-25 19:06:29 Null Handle: No he isn't.,o_O,2002-03-25 19:08:20 (ball): What kinda filter is this?,2002-03-25 19:08:30 (eye)K'van Cetre: ..,
2002-03-25 19:08:30,(eye)K'van Cetre,2002-03-25 19:07:58 (eye)K'van Cetre: o_O,2002-03-25 19:08:20 (ball): What kinda filter is this?,..,2002-03-25 19:08:38 (eye)Vavalion: Rand is keeping his eye on us.,2002-03-25 19:08:45 (eye)K'van Cetre: I'll figure you out yet!,
2002-03-25 19:08:45,(eye)K'van Cetre,2002-03-25 19:08:30 (eye)K'van Cetre: ..,2002-03-25 19:08:38 (eye)Vavalion: Rand is keeping his eye on us.,I'll figure you out yet!,2002-03-25 19:08:58 ball: 3y3!,2002-03-25 19:09:12 (eye)K'van: 1...,
2002-03-25 19:09:24,(eye)K'van Cetre,2002-03-25 19:08:58 ball: 3y3!,2002-03-25 19:09:12 (eye)K'van: 1...,So....Eyeball wont work,2002-03-25 19:09:54 (eye): ok...I just realized...Eye? That doesn't even look right.... wtf......,"2002-03-25 19:10:27 Am I clogging the name list?: its like, I know the work means the things you see out of, but it just doesnt seem right anymore!",
2002-03-25 19:03:41,(eye)Soul,2002-03-25 19:02:38 Soul: ................,"2002-03-25 19:02:48 Vavalion: *Shoots the word ""REAL""* Stay still damnit!","*snipes off the word ""real""....... with a 50mm machinegun*",2002-03-25 19:04:21 (eye)Soul: What the fuck?,"2002-03-25 19:05:05 , filters are for the lame: Freaks",
2002-03-25 19:04:21,(eye)Soul,"2002-03-25 19:02:48 Vavalion: *Shoots the word ""REAL""* Stay still damnit!","2002-03-25 19:03:41 (eye)Soul: *snipes off the word ""real""....... with a 50mm machinegun*",What the fuck?,"2002-03-25 19:05:05 , filters are for the lame: Freaks",2002-03-25 19:05:23 (eye)Vavalion: Hm?,
2002-03-25 19:06:10,(eye)Soul,2002-03-25 19:05:43 (eye)Darkness in the (eye)Soul: Lame,"2002-03-25 19:05:44 (eye)Vavalion: Ahahahah, Randy is so funny.",phreak,2002-03-25 19:06:29 Null Handle: No he isn't.,2002-03-25 19:07:58 (eye)K'van Cetre: o_O,
2002-03-25 19:05:23,(eye)Vavalion,2002-03-25 19:04:21 (eye)Soul: What the fuck?,"2002-03-25 19:05:05 , filters are for the lame: Freaks",Hm?,2002-03-25 19:05:43 (eye)Darkness in the (eye)Soul: Lame,"2002-03-25 19:05:44 (eye)Vavalion: Ahahahah, Randy is so funny.",
2002-03-25 19:05:44,(eye)Vavalion,2002-03-25 19:05:23 (eye)Vavalion: Hm?,2002-03-25 19:05:43 (eye)Darkness in the (eye)Soul: Lame,"Ahahahah, Randy is so funny.",2002-03-25 19:06:10 (eye)Soul: phreak,2002-03-25 19:06:29 Null Handle: No he isn't.,
2002-03-25 19:08:38,(eye)Vavalion,2002-03-25 19:08:20 (ball): What kinda filter is this?,2002-03-25 19:08:30 (eye)K'van Cetre: ..,Rand is keeping his eye on us.,2002-03-25 19:08:45 (eye)K'van Cetre: I'll figure you out yet!,2002-03-25 19:08:58 ball: 3y3!,
2002-05-08 21:58:38,(magic) yummie cookie,"2002-05-08 21:56:36 Piki: *swallows* Well, I'm just saying, it could be, but it also could be good...",2002-05-08 21:58:31 Vavalion: So you have to decide whether to risk death for a yummie cookie.,*Piki turns into a cat*,2002-05-08 21:59:16 Piki: How the hell did I turn into a cat?! I haven't even eaten the cookie yet!!,"2002-05-08 21:59:34 Piki: Err, I mean, ""MROW! GRRRR!",
2002-05-08 21:59:44,(magic) yummie cookie,"2002-05-08 21:59:34 Piki: Err, I mean, ""MROW! GRRRR!","2002-05-08 21:59:37 Piki: """,*is magic*,"2002-05-08 22:00:32 Piki: Oh good Lord. Okay, so I'm a cat.",2002-05-08 22:00:42 Piki: *represses the urge to groom* *glares*,
2002-04-03 17:37:45,.,"2002-04-03 17:31:20 Darrow: *Nadia finds it, but it explodes*","2002-04-03 17:33:54 Nadia: Wah, no fluffy bunnies... ;_;",*Every Jigglypuff in the world explodes*,"2002-04-03 17:44:24 .: Guess what I have working, Darrow?",2002-04-03 17:44:33 Hero: Is Hero,
2002-04-03 17:44:24,.,"2002-04-03 17:33:54 Nadia: Wah, no fluffy bunnies... ;_;",2002-04-03 17:37:45 .: *Every Jigglypuff in the world explodes*,"Guess what I have working, Darrow?",2002-04-03 17:44:33 Hero: Is Hero,2002-04-03 17:45:07 Darrow: Gooooo Moonett!,
2001-12-13 12:14:41,0.00000000072,2001-12-13 11:26:39 Jester: So what's going down in this here town?,"2001-12-13 11:26:44 Janus: I see a pattern to Calculator, but following that pattern gives me partial gibberish. DP, type some more stuff in Calculator when you get back! [tongue]",o_O,2001-12-13 12:15:50 0.00000000072: Biotch!,2001-12-13 12:16:19 72: [tongue],
2001-12-13 12:15:50,0.00000000072,"2001-12-13 11:26:44 Janus: I see a pattern to Calculator, but following that pattern gives me partial gibberish. DP, type some more stuff in Calculator when you get back! [tongue]",2001-12-13 12:14:41 0.00000000072: o_O,Biotch!,2001-12-13 12:16:19 72: [tongue],"2001-12-13 12:19:07 72: /nolog Hero, Canadian dollars are worth less than American dollars. ",
2002-03-18 18:32:29,1000 Jello Bunny Soul,2002-03-18 18:31:33 Jello Bunny Soul: Freaks.... wait.. I'm a freak... Sub-freaks...,2002-03-18 18:31:50 Jello Bunny Soul: I'mmmm mmeeeeeeeeelllllllllttiiiiiiiiiiiiiinnnnnnnnnngggggggggg,"*pot suddenly stops boiling.. and then suddenly cools down, and then explodes*",2002-03-18 18:32:35 1000 Jello Bunny Soul: *frolic about*,2002-03-18 18:33:05 1000 Jello Bunny Souls: *takes over the world*,
2002-03-18 18:32:35,1000 Jello Bunny Soul,2002-03-18 18:31:50 Jello Bunny Soul: I'mmmm mmeeeeeeeeelllllllllttiiiiiiiiiiiiiinnnnnnnnnngggggggggg,"2002-03-18 18:32:29 1000 Jello Bunny Soul: *pot suddenly stops boiling.. and then suddenly cools down, and then explodes*",*frolic about*,2002-03-18 18:33:05 1000 Jello Bunny Souls: *takes over the world*,2002-03-18 18:33:29 1000 Jello Bunny Souls: *everyone eats chocolate Bill Gates for Easter*,
2002-03-18 18:33:05,1000 Jello Bunny Souls,"2002-03-18 18:32:29 1000 Jello Bunny Soul: *pot suddenly stops boiling.. and then suddenly cools down, and then explodes*",2002-03-18 18:32:35 1000 Jello Bunny Soul: *frolic about*,*takes over the world*,2002-03-18 18:33:29 1000 Jello Bunny Souls: *everyone eats chocolate Bill Gates for Easter*,2002-03-18 18:33:34 Alita: O_o AHHH!!!! *frantically runs around* They've MULTIPLIED! I need a spoon!,
