time_stamp,handle,back_-2_post,back_-1_post,text,forward_1_post,forward_2_post,guess_who
2004-02-01 13:42:39,.rEmee!,"2004-02-01 13:42:22 Diana: Does Way-tayes ever look innocent, D'Arrow?",2004-02-01 13:42:37 Diana: [dwa]@Vav,Testing,"2004-02-01 13:43:18 Diana: Hmmmm, Resident Rage is doing badly this round, too... Maybe I have a chance to beat him! [wink]","2004-02-01 13:43:25 D Arrow: Yep, it's one of her most important skills. She'll break out an innocent act, meow at you, rub up against your legs, whatever it takes. And then, when you let down your guard...BAM! Teeth to the body part you let near her.",
2004-02-01 13:43:56,.rEmee!,2004-02-01 13:43:37 Diana: LOL@.rEmee!,2004-02-01 13:43:40 Ivan Olav: LOL at Mr Eee,Hi guys!,"2004-02-01 13:44:07 Diana: Maybe she really loves you, and then decides to play with you!",2004-02-01 13:44:19 D Arrow: Howdy Spar.,
2004-02-01 13:45:29,.rEmee!,2004-02-01 13:44:19 D Arrow: Howdy Spar.,2004-02-01 13:44:29 I Am Spy: Hey Spar!,How goes it this afternoon?,2004-02-01 13:45:51 Najus: It goes...,2004-02-01 13:45:54 Diana: It goes okay...,
2004-02-01 13:47:24,.rEmee!,2004-02-01 13:47:05 K'pii: Ivan Olav is awesome.,2004-02-01 13:47:19 Diana: [dwa]@D'Arrow,How about some FFXI! [poke][piki],2004-02-01 13:47:56 Diana: AIM isn't working for me... :(,2004-02-01 13:48:02 D Arrow: D Arrow! Into actioooooon! *charges at Nadia and knocks her over*,
2004-02-01 13:48:55,.rEmee!,2004-02-01 13:48:15 I Am Spy: LOL,2004-02-01 13:48:47 Diana: ~gets knocked over~ [cry],You told me your father would not leave till 12. So....,2004-02-01 13:49:40 K'pii: So you slept in till 12:40? Good job!,2004-02-01 13:49:56 K'pii: *drags Mr. Eee! out* Let's GO! gogogogo!,
2004-02-01 13:50:24,.rEmee!,2004-02-01 13:49:56 K'pii: *drags Mr. Eee! out* Let's GO! gogogogo!,2004-02-01 13:50:20 Diana: It keeps saying an error occurred whenever I try to sign in...,Roger that. Reporting in.,"2004-02-01 13:50:25 D Arrow: Watch out, Spar, she's going to take you to the orgasm deck!! ...Err, well, don't watch out. Get the hell out there!",2004-02-01 13:50:55 Diana: Is anyone else having this problem...? :(,
2004-02-01 13:52:14,.rEmee!,"2004-02-01 13:51:27 Najus: No, Nadia.",2004-02-01 13:52:09 Diana: I'm sure I'm typing in my name and password correctly... :(,*drags Piki out* Let's GO! gogogogo!,2004-02-01 13:52:27 Najus: Dunno what to tell you.,2004-02-01 13:52:44 Ivan Olav: LOL,
2004-02-01 13:52:46,.rEmee!,2004-02-01 13:52:27 Najus: Dunno what to tell you.,2004-02-01 13:52:44 Ivan Olav: LOL,caps lock?,2004-02-01 13:52:48 K'pii: I've been sitting in Kazham for an hour!,"2004-02-01 13:53:18 Najus: She's been getting all worked up, Mr. E. It's not nice to keep women waiting.",
2004-02-01 13:53:33,.rEmee!,2004-02-01 13:52:48 K'pii: I've been sitting in Kazham for an hour!,"2004-02-01 13:53:18 Najus: She's been getting all worked up, Mr. E. It's not nice to keep women waiting.",Bye guys ^^ I'm off to the orgasm deck. *wave*,2004-02-01 13:53:48 I Am Spy: [laugh],2004-02-01 13:53:50 Najus: Have...fun.,
2005-03-31 03:44:30,80's Tony,2005-03-31 03:43:14 DP: Male sizes for most things are easy. Measure by inches. Nice and simple!,2005-03-31 03:43:25 DP: Womens sizes? Daaaaamn. How can you stand it?,New handle. Like it?,"2005-03-31 03:44:31 Amy: Well, women's sizes aren't that hard.",2005-03-31 03:45:00 Armadillo: I don't see how it's any different from any other system that has no basis in reality.,
2005-03-31 03:45:27,80's Tony,2005-03-31 03:45:11 Janus: Hi Army.,"2005-03-31 03:45:12 Amy: I mean, the number part is your bust measurement in inches, and the cup size.....","Hello, all... looks like I walked into a typical SSU conversation [tongue]","2005-03-31 03:45:44 DP: Numbers change between designers, styles, hell, even within the same damn brands.",2005-03-31 03:45:52 Armadillo: Yo.,
2005-03-31 03:47:24,80's Tony,"2005-03-31 03:47:19 DP: There is goes, I think.",2005-03-31 03:47:22 Amy: ..........?,No kidding. Obviously I wasn't the only one experiencing that.,2005-03-31 03:47:30 DP: That was really fucked up.,"2005-03-31 03:47:39 DP: So, as I was saying...",
2005-03-31 03:49:15,80's Tony,2005-03-31 03:48:59 DP: I say just move to Public for the time being. That seems to be working fine for the moment.,2005-03-31 03:49:07 DP: Unless this is finally stable again.,Can anyone read my chats?,"2005-03-31 03:49:19 DP: Oh, and, by the way, wonderful av, Janus. She was awesome in that dress. [animesmile]",2005-03-31 03:49:54 Nadia: What happened to the chat?  [dwa],
