time_stamp,handle,back_-2_post,back_-1_post,text,forward_1_post,forward_2_post,guess_who
2005-09-18 18:40:45,80s Science Fiction B-Movie,2005-09-18 17:11:08 Underrated Low Budget Cult Classic: Hallo.,2005-09-18 18:19:32 Classy Nearly Genre Defying Epic Romance Film Noir: [spin],Whew.,2005-09-18 18:40:54 80s Science Fiction B-Movie: It's been quite a weekend.,"2005-09-18 18:42:51 Classy Nearly Genre Defying Epic Romance Film Noir: You have quite a day every day, Rusey. Hello.",
2005-09-18 18:40:54,80s Science Fiction B-Movie,2005-09-18 18:19:32 Classy Nearly Genre Defying Epic Romance Film Noir: [spin],2005-09-18 18:40:45 80s Science Fiction B-Movie: Whew.,It's been quite a weekend.,"2005-09-18 18:42:51 Classy Nearly Genre Defying Epic Romance Film Noir: You have quite a day every day, Rusey. Hello.",2005-09-18 18:44:13 80s Science Fiction B-Movie: It's true. Hey Janus and Vavvy.,
2005-09-18 18:44:13,80s Science Fiction B-Movie,2005-09-18 18:40:54 80s Science Fiction B-Movie: It's been quite a weekend.,"2005-09-18 18:42:51 Classy Nearly Genre Defying Epic Romance Film Noir: You have quite a day every day, Rusey. Hello.",It's true. Hey Janus and Vavvy.,2005-09-18 18:44:22 Underrated Low Budget Cult Classic: Did you shoot anyone?,2005-09-18 18:44:36 80s Science Fiction B-Movie: Maaaaaybe. [sneak],
2005-09-18 18:44:36,80s Science Fiction B-Movie,2005-09-18 18:44:13 80s Science Fiction B-Movie: It's true. Hey Janus and Vavvy.,2005-09-18 18:44:22 Underrated Low Budget Cult Classic: Did you shoot anyone?,Maaaaaybe. [sneak],2005-09-18 18:44:55 80s Science Fiction B-Movie: Actually I shot several people. And some animals!,2005-09-18 18:45:58 Underrated Low Budget Cult Classic: That's not nice.,
2005-09-18 18:44:55,80s Science Fiction B-Movie,2005-09-18 18:44:22 Underrated Low Budget Cult Classic: Did you shoot anyone?,2005-09-18 18:44:36 80s Science Fiction B-Movie: Maaaaaybe. [sneak],Actually I shot several people. And some animals!,2005-09-18 18:45:58 Underrated Low Budget Cult Classic: That's not nice.,2005-09-18 18:46:40 80s Science Fiction B-Movie: It was very nice! Kirby won because of it!,
2005-09-18 18:46:40,80s Science Fiction B-Movie,2005-09-18 18:44:55 80s Science Fiction B-Movie: Actually I shot several people. And some animals!,2005-09-18 18:45:58 Underrated Low Budget Cult Classic: That's not nice.,It was very nice! Kirby won because of it!,2005-09-18 18:56:26 Pretentious and Meaingless Art Film: Good afternoon.,"2005-09-18 18:57:56 Pretentious and Meaingless Art Film: Beer lenses really crashed, they're down to 1900 meat. [feak]",
2002-10-14 17:37:51,?,"2002-10-14 17:37:13 ~ also has many 'friends', some: p ~","2002-10-14 17:37:42 Mog: *Appears and grabs Dry, then creates a hole in the ground and slideeeeeeeeeeeeees down it back to Hell*",Ha ha...ha haha!,"2002-10-14 17:39:00 ?: *Uses power to reopen portal, reemerging.*",2002-10-14 17:39:18 ?: Haha...HAHAHAAA!!!,
2002-10-14 17:39:00,?,"2002-10-14 17:37:42 Mog: *Appears and grabs Dry, then creates a hole in the ground and slideeeeeeeeeeeeees down it back to Hell*",2002-10-14 17:37:51 ?: Ha ha...ha haha!,"*Uses power to reopen portal, reemerging.*",2002-10-14 17:39:18 ?: Haha...HAHAHAAA!!!,2002-10-14 17:40:06 ?: Give it back...,
2002-10-14 17:39:18,?,2002-10-14 17:37:51 ?: Ha ha...ha haha!,"2002-10-14 17:39:00 ?: *Uses power to reopen portal, reemerging.*",Haha...HAHAHAAA!!!,2002-10-14 17:40:06 ?: Give it back...,2002-10-14 17:40:54 Disgruntled Postal Worker: OK. [gives the nuclear mailbomb back],
2002-10-14 17:40:06,?,"2002-10-14 17:39:00 ?: *Uses power to reopen portal, reemerging.*",2002-10-14 17:39:18 ?: Haha...HAHAHAAA!!!,Give it back...,2002-10-14 17:40:54 Disgruntled Postal Worker: OK. [gives the nuclear mailbomb back],2002-10-14 17:40:55 Dry: Missile launch? Cool.,
2002-10-14 17:47:26,?,"2002-10-14 17:44:43 Mog: *Takes the package and shoves it down Dry's throat, then punches him out the window* Kabomb. *Nuclear bomb annihilates Dry*",2002-10-14 17:46:21 Nadia: LOL@Hawk...,Hahaha...your pathetic nuclear weapons cannot harm me!,"2002-10-14 17:49:42 Mog: You can't cast the flesh curse, idiot.",2002-10-14 17:50:46 ?: Argh.,
2002-10-14 17:50:46,?,2002-10-14 17:47:26 ?: Hahaha...your pathetic nuclear weapons cannot harm me!,"2002-10-14 17:49:42 Mog: You can't cast the flesh curse, idiot.",Argh.,"2002-10-14 17:52:06 Aaron: w00t, I got a 111 combo in DDR. I feel special. ",2002-10-14 17:52:59 Aaron: Why is there much death and destruction? Are you guys just playing around?,
2001-11-18 09:11:45,Annoying Chinese Resteraunt Lady,2001-11-18 09:09:04 Hero: Two things.,"2001-11-18 09:09:40 Hero: First, you'll need to get a copy of poledit.exe (it should be on your Windows 9x CD in tools)",And den?,"2001-11-18 09:11:46 Hero: To prevent futher logins, add these lines to your autoexec.bat","2001-11-18 09:12:24 Hero: That will rename any .pwl files to .pw1, then copy them to your desktop (as a makeshift alert system)",
2001-11-18 09:12:59,Annoying Chinese Resteraunt Lady,2001-11-18 09:12:38 Hero: Then use poledit to create a system poilicy.,2001-11-18 09:12:57 Hero: Keep poledit on a floopy disk,And den?,"2001-11-18 09:13:37 Hero: Save the policy to the system folder (I think, I'l have to find that out)",2001-11-18 09:13:50 Hero: you can lock him out of almost any windows function,
2001-11-18 09:16:09,Annoying Chinese Resteraunt Lady,"2001-11-18 09:14:23 Hero: You can even prevent him from shutting down, opening programs, anythin",2001-11-18 09:15:14 Hero: wwhoops.. wait,And den?,"2001-11-18 09:16:14 Hero: If you're going to use System Policies, then you have to use Windows Login. So you can't delete those *.pwl files. But you can still set it up, so only your login will give master control, and other logins won't.","2001-11-18 09:16:39 Hero: Anyway, when your read these logs, just ask me if you need help setting that up",
2001-11-18 09:16:57,Annoying Chinese Resteraunt Lady,"2001-11-18 09:16:14 Hero: If you're going to use System Policies, then you have to use Windows Login. So you can't delete those *.pwl files. But you can still set it up, so only your login will give master control, and other logins won't.","2001-11-18 09:16:39 Hero: Anyway, when your read these logs, just ask me if you need help setting that up",An den?,2001-11-18 09:28:38 Annoying Chinese Resteraunt Lady: And Den??,2001-11-18 09:28:56 Annoying Chinese Resteraunt Lady: ANNNNNNNNNNNDDDDDDEEEEEEEEEEEEENNNNNNNNNNNNNnn?!?!?!??!!!!! *explodes*,
2001-11-18 09:28:38,Annoying Chinese Resteraunt Lady,"2001-11-18 09:16:39 Hero: Anyway, when your read these logs, just ask me if you need help setting that up",2001-11-18 09:16:57 Annoying Chinese Resteraunt Lady: An den?,And Den??,2001-11-18 09:28:56 Annoying Chinese Resteraunt Lady: ANNNNNNNNNNNDDDDDDEEEEEEEEEEEEENNNNNNNNNNNNNnn?!?!?!??!!!!! *explodes*,2001-11-18 09:29:45 Soul: *......*,
2001-11-18 09:28:56,Annoying Chinese Resteraunt Lady,2001-11-18 09:16:57 Annoying Chinese Resteraunt Lady: An den?,2001-11-18 09:28:38 Annoying Chinese Resteraunt Lady: And Den??,ANNNNNNNNNNNDDDDDDEEEEEEEEEEEEENNNNNNNNNNNNNnn?!?!?!??!!!!! *explodes*,2001-11-18 09:29:45 Soul: *......*,2001-11-18 09:38:04 Randofu: One more thing...,
